genes,log2FC,AveExpr,EffSize,t,P.Value,adj.P.Val
GNL3,3.489669068967185,9.6932434960729,7.231194620973454,7.632254475410905,0.00023860165048311102,0.005521923911180569
RBM39,-3.791432837021028,8.446697484562758,7.572127265167704,-8.003826173478524,0.00018252679117468725,0.005521923911180569
RPL35,4.458970515086232,13.482809176083975,6.200466871719337,9.076312671506495,8.905364816341656e-05,0.005521923911180569
RPL27A,2.5119794981997323,10.383806996388136,6.258777947065676,8.254291489514939,0.00015326900654371957,0.005521923911180569
HNRNPM,2.594470495045023,15.165240246907304,5.951706548117077,9.57987205154249,6.520638094250653e-05,0.005521923911180569
HIST1H1C,2.2752036627738317,12.969665898444735,4.914891303946615,7.8269092252411685,0.00020708234992472413,0.005521923911180569
SNRPD2,-2.707454991156567,11.53097873474625,6.929550670413886,-8.279727247915947,0.00015061200448672956,0.005521923911180569
TRA2B,4.722037244335928,11.217764948738566,5.006065750642469,7.322285613702514,0.0003008894324420452,0.006093011006951416
TRA2A,3.2147411617870816,7.7409621274863625,6.0578327914596635,6.978927892944854,0.00039279211685837995,0.006363232293105755
RPS6,2.5224422025154105,13.54822994477312,4.276459557327395,7.020277830127736,0.0003801726108723959,0.006363232293105755
HIST1H4A,2.2801435357040365,15.316240970558578,4.356849336373314,6.6228069942049235,0.0005238074367514663,0.007714254977612503
RPS24,1.6378194495244536,14.116008248981556,4.01569683766629,5.873008273895357,0.0010012035992400486,0.013516248589740657
ERH,-2.087550786367828,11.54532973238011,3.7502001379889838,-5.722767688061962,0.0011484513522432925,0.014311470697185644
YBX1,1.6023667177047685,12.19520082867441,4.019280806978219,5.4617750251395,0.00146683351690798,0.015405536017434971
PUF60,-3.2442974292034314,8.774903252092304,5.88294694722774,-5.462191384240317,0.0014662514096947343,0.015405536017434971
RPL17,3.462907664601408,14.93015869571882,3.349051398446818,5.423465097975004,0.0015215344214750588,0.015405536017434971
RPS9,4.343490957255275,12.314781997056402,3.407818197698115,5.194498485932251,0.0019010102158409287,0.017772282512544493
SF3B2,-1.7275489413045726,10.71055256943141,3.7198182636486683,-5.0022519112915695,0.002303814399774286,0.017772282512544493
EIF4A3,-1.4333149958295763,11.896656608163594,3.1724330093958524,-5.029788986020578,0.0022405896232073883,0.017772282512544493
FUS,1.7324184572401204,10.811539147863629,3.5699496428961726,5.042049866984619,0.0022130718603637187,0.017772282512544493
EFTUD2,-1.701734886706456,11.196626163415063,4.31272516405829,-5.114755627399806,0.0020575409144582505,0.017772282512544493
HIST1H1E,1.7347141702124453,11.50375072142931,3.0924889372501525,4.340426760628942,0.004641008230911698,0.03417469697307705
SNRPD3,-1.2280181546131548,12.738229313379822,2.635076534120803,-4.28112646192056,0.00495677379189917,0.034912928447289805
RPL26,3.446737997256438,12.455076103430914,2.559592367292569,4.01639917666727,0.006692681915170631,0.0439910335947246
PCBP1,-1.5023579692611122,7.640202535242169,3.8744372905871933,-3.9880695808393463,0.006915560898979917,0.0439910335947246
SF3B3,-3.3319967796106003,7.74915149900924,3.919501998536717,-3.9702126693616853,0.007060289342363208,0.0439910335947246
SRSF3,2.3924698232487973,10.781517562710528,2.8881996923155264,3.9131790801770197,0.007545598904496295,0.04527359342697777
RPS4X,1.1414554587467638,12.558510687294106,2.3318522449895993,3.7940588771173105,0.008683443009386147,0.05023992026859128
FUBP3,-1.765507132872644,11.704966452129161,2.3097346451320826,-3.6810381851721297,0.00994127798272193,0.055534035627619056
RPL13A,2.0564901278445378,7.829595417496851,3.111864290395609,3.6192125648281634,0.010713747926597244,0.05598797303576624
H1FX,1.1406281996694734,12.841464089011993,2.272670335096395,3.643233350918911,0.010406012718231576,0.05598797303576624
EEF1A1P5,1.3122482136313494,13.060765661895969,2.288326193015449,3.5891107870104335,0.01111365906657075,0.05626289902451442
SF1,-1.8070546301248376,7.676058231579371,3.135688922261212,-3.529593649491331,0.011953723465151868,0.058681915192563716
SFPQ,1.6633400111784589,8.482039774244482,3.792991112102299,3.469332189350769,0.012876122420291547,0.06135093623785972
KHSRP,-2.5557301714946004,10.21915708235797,2.2585655588869034,-3.2702283679146817,0.016525198194526875,0.07648806021466725
VIM,-1.2659715289146867,13.525780558839092,2.164070792511087,-3.243300699603183,0.01710016690087193,0.07695075105392368
ELAVL1,-1.4056638573370979,10.733317824490069,2.0433912019201483,-3.13028266131488,0.019762800658461838,0.08645158425865308
RPS26,1.2192305076975085,12.401535295748923,2.0351473951695778,3.110305549346385,0.02027876667795566,0.08645158425865308
HIST1H1D,0.8778806443807792,11.227995902412157,2.2538840988540643,3.081667071189063,0.021044127222191684,0.08741406692295008
XRN2,-2.7202745133184036,7.967039178188626,2.7286501142909434,-3.0533219072668967,0.021832603381355772,0.08842204369449087
RPS11,1.9536669389676131,14.481603928163352,1.8197396383007902,2.9857069204945867,0.0238456919737949,0.09421956340865302
SMU1,-1.1536122837944873,7.687094679306483,3.031803408965857,-2.960771244538777,0.02463801759645888,0.09503235358634139
DKC1,1.4092098612746433,6.520667052533326,2.7185668530199947,2.914255026030829,0.026193034750652627,0.0965671030878904
SON,-2.4999950700443607,7.52078049785598,2.5705725159663584,-2.913240646000728,0.026228102073254184,0.0965671030878904
HSPA1B,-1.5933343964180038,7.399340722221972,2.8248023882765505,-2.876055336498387,0.027549143233060368,0.09890287519596382
CCT2,-2.40508120002002,8.052616422371552,2.5600243985052953,-2.86155477021748,0.028083532463051453,0.09890287519596382
RPS23,2.308747859781871,14.663898550641159,1.657539771996911,2.7098983853548684,0.03438853294354532,0.11853068801817747
RPL23,0.8859179380753375,13.869449513328965,1.661878946103058,2.661478000202297,0.036707513348431205,0.12388785755095531
PTBP1,0.9718114911346394,12.348809489750407,1.6951527796873622,2.5989431011375848,0.039951264943824984,0.13208377389591117
PABPN1,-1.0424524956140369,7.836849604079727,2.1999217176339236,-2.5218617662654963,0.04437251758383663,0.138332683609112
CCT6A,1.2205019035270723,9.703430400108251,1.827492346907579,2.512513351526204,0.04494284249138429,0.138332683609112
PRPF3,-0.8064950222387708,10.060471968879428,1.873439071167011,-2.5074172815290825,0.04525698908199343,0.138332683609112
SF3A1,-1.10667737921462,10.311107875065641,1.730718999857444,-2.5433817879606453,0.04308843346108041,0.138332683609112
GPATCH4,2.4670643588042473,6.525890121589991,2.3212975974508407,2.4903963799534607,0.046323101206415,0.138969303619245
LRPPRC,-1.2051814907016904,9.79232486331859,1.7073466991193738,-2.35879445571751,0.055510124783501716,0.16350254936231415
RPL23A,1.0227370287564668,17.239300889076816,1.512899945443058,2.330604957831208,0.05771456807520717,0.16696000050327786
PRPF4,-2.699547074585319,7.881155528986064,1.9606255758325732,-2.299202466040926,0.060277736812748534,0.171315673046759
MRPS16,-1.7446923613597471,6.440032343327667,2.156011791578499,-2.281397853212455,0.06178317661931965,0.17256680366085833
SF3B6,-2.774077866336782,10.741856866130922,1.5217566800858342,-2.2563784702056635,0.06396470258673863,0.17563189523816367
MAGOHB,-0.7018243313802,9.815092708773847,1.884227511567886,-2.237875051693602,0.06562916397811835,0.17719874274091957
MAGOH,-0.778520114978626,9.051733830406398,1.7440414853888977,-2.2035914846521676,0.06883213173890634,0.18280008756889882
U2AF1L5,-1.112220314366219,12.295106188123338,1.3493518173747314,-2.080904705377427,0.08166805530747757,0.21339072515824783
U2AF2,-1.046588229229684,11.415186459524847,1.4373237551039877,-2.0677045419401376,0.0831872876941029,0.2139101683562646
RPS13,1.53091026835685,12.617213193720186,1.2377360954434173,2.044057081063893,0.08598095563743005,0.21763929395724482
SNRNP200,-1.1788373726346713,9.903147337590113,1.4095208428682686,-2.0186479349340085,0.08908867035312848,0.2186721908667699
RPS27A,-1.4772473853976837,10.163236747099944,1.3845963414793976,-2.022332595401474,0.08863107192647113,0.2186721908667699
HNRNPH1,0.5274669159472403,12.599295119297564,1.291976352680011,1.957143909210122,0.09708788607511133,0.23474981409206022
H2AFX,0.7632968539359641,10.222302531737652,1.3350474256384055,1.9443895858471072,0.09883491985554474,0.23545966200879775
NPM3,0.7360880867688735,9.008592534827383,1.5308493914463703,1.8795911920657915,0.10820734374431691,0.2492102360492704
CDKN2AIP,-0.7120014725717532,5.154917234291503,1.7673851452206484,-1.8799497438762298,0.10815312433473578,0.2492102360492704
SRRM1,0.9200985960346868,7.364896053205232,1.749744598730586,1.8729154652109676,0.10922177012035925,0.2492102360492704
ILF2,1.3368140276621183,12.173717950917432,1.1310855014095822,1.8363326428313955,0.11495023683010895,0.2550950461161322
SF3A3,-1.1096457698705553,10.518744572261935,1.2185724930322097,-1.843317104942089,0.11383408166014798,0.2550950461161322
ADAR,0.7165131550361927,9.922279194197582,1.2943782495568876,1.8031664308214743,0.12039925895863622,0.263576756098636
PRPF8,-0.7692964087143501,9.351916698113417,1.304540339085559,-1.7568255388576133,0.12843934231083926,0.2774289793914128
RBM17,-2.114733999792703,6.975441895540407,1.59917454255028,-1.7354257085103366,0.13232683553746352,0.2820650968035407
VDAC2,-1.1220744431374623,9.468230430478815,1.1927035380854245,-1.6522881677762136,0.14853966842680524,0.3125120296771747
YBX3,0.5078467468759307,10.393751430676263,1.0903249946746678,1.6108093652347948,0.1573259354913212,0.32517973058603755
SNW1,-1.0137449608331863,8.544877250849531,1.2707539043423375,-1.5959939209135465,0.16058258300545064,0.32517973058603755
H2AFV,1.0641399933037086,12.624612221627336,0.9611310008762286,1.5971262160179933,0.16033144615125147,0.32517973058603755
RBM8A,-1.5322827878236467,11.32879318786017,0.9948415439471123,-1.5661924832239364,0.16732788936418647,0.3305746106951001
TCP1,-0.989247278600482,8.548158533708047,1.2486939139103723,-1.5704095080970406,0.16635739397884544,0.3305746106951001
SF3B1,-1.4554916173981542,9.381422994507435,1.1194969905767675,-1.5341581347275373,0.17487617815797507,0.34132458869387905
ILF3,0.6964957861483398,10.601080782234625,1.051036539691716,1.521673259720755,0.17790362986741087,0.34309985760143524
RPS25,1.1139977164575026,10.617652819252427,1.0051137189642956,1.4776843860381936,0.18896454164518015,0.3559564621688277
SF3B4,-1.1626500139805351,9.166503382496217,1.1009370332898247,-1.4833868579189444,0.18749546048116672,0.3559564621688277
RUVBL2,-2.492592768131802,7.0966881654652525,1.3017180524138026,-1.4410230879380086,0.19866621028782527,0.36993018467388156
TOMM22,-0.7524205036266771,9.87264209607019,0.9905142467569975,-1.4234447667920198,0.20347862045910506,0.3703768147682586
TRIM28,-1.2328027036078444,8.298739539325117,1.1799175502935104,-1.4265354308065574,0.20262482762971287,0.3703768147682586
SERPINB12,-0.5985886892862622,6.757383775076673,1.6161637910297557,-1.4050607331582505,0.20862548108966447,0.37552586596139603
EWSR1,0.7823834780817673,9.627467699349001,0.9611842984452313,1.3648184178872549,0.22030736128158823,0.3921955222815087
RBM22,-0.4959895220866173,8.570343288350644,1.0391842901987849,-1.314243230872663,0.2358228224197175,0.4126264265511924
POLDIP3,-0.9046345637256916,7.854348933205667,1.1423283600576921,-1.3109122765950423,0.23687813376086972,0.4126264265511924
