genes,log2FC,AveExpr,EffSize,t,P.Value,adj.P.Val
HIST1H1D,0.5430552525454875,11.058926932271227,1.2663694562013523,2.323138871298178,0.05810529599022759,0.1787011933284358
RPS2,1.442176037833578,8.65893281057419,1.6646580951695706,2.2976061573916557,0.06020059121074826,0.18171659939540677
CCT2,-1.3356953771042601,8.670943162467017,1.586597816333382,-2.269313168945552,0.06261404357395554,0.18556525641008645
SNRNP200,-1.2196743964986982,9.950876898813501,1.3392248680654362,-2.2347265514112773,0.06570074392839265,0.18788107474259652
SF3A1,-1.308577929887278,10.26570275047195,1.294613170294222,-2.240366677935486,0.06518687427629659,0.18788107474259652
TAF15,0.9462074638223905,7.687320669608169,1.5621158547064764,2.1584168427483945,0.07307727758148046,0.20537234906519508
THOC2,-0.8635069395517796,5.721031665807905,1.4761994027924419,-2.1168524580405985,0.07744670356661204,0.21396292680267395
RPS24,1.59436544381761,14.39999766155425,1.0992311956955205,2.0746119506281073,0.08216027270578528,0.22320207418405003
COIL,-1.3040262220976597,5.977625866746871,1.4326524353725079,-2.0308162665023017,0.08735511140796018,0.23260924018466606
SNW1,-1.117543927255607,8.53162826238227,1.4607775843107467,-2.017564936625679,0.08899142436010939,0.23260924018466606
CALML5,-0.9426276567279208,7.119967327297202,1.474241935290721,-2.0102794783622557,0.08990418485665007,0.23260924018466606
RPS13,0.8790178878298978,12.267991312583456,1.0192499822579364,1.9712095940505892,0.0949622005529797,0.24185685453337016
BCAS2,-1.0726713488226558,10.120965564449781,1.1446808827181914,-1.9463691315513365,0.09832554334124376,0.24657020868650356
RBM8A,-1.7950974119798389,11.387224226143074,1.0026292987845185,-1.9190253433312943,0.1021656646571727,0.2523182324108962
CDC5L,-0.979827061356211,10.017020146398634,1.128465718743645,-1.9064994173508116,0.10397436885708887,0.25295256901052965
SRRM1,0.7302419751819729,7.380189309893316,1.4299198212222954,1.878232839399328,0.10817377879686553,0.2592989109395453
PRPF8,-1.8265257824023724,7.817827174085122,1.3949152672469258,-1.8576733547876854,0.11133340505390436,0.26300500034473057
DCD,-2.507391706971138,11.49379479423923,0.9497463441216065,-1.8025894721128826,0.1202546731035282,0.2721916063209993
PUF60,-0.6032532514881463,10.43747709526094,1.0169083238203307,-1.7929024676853138,0.12189462031617472,0.2721916063209993
LRPPRC,-0.6984270059068471,10.04758296716073,1.130527367568773,-1.784459033781974,0.12334189116924203,0.2721916063209993
SNRPD2,0.5449150534813665,12.991164436631646,1.0392633697159182,1.7831275384949186,0.123571649495423,0.2721916063209993
EEF1A1P5,0.6397254064189273,12.964270452104877,0.9052192160042937,1.7979626793917616,0.1210352435607018,0.2721916063209993
SMU1,-0.9374980510034234,7.867299215635784,1.2323144694308474,-1.7221350503448412,0.13455571869104874,0.288586607192644
NPM3,0.5993823369033748,8.933994390725646,1.4414348750644959,1.7227559818699183,0.13443925513769822,0.288586607192644
RPL23A,0.9788949051972686,17.353273744020804,1.0514027413029254,1.7060003018906276,0.13761646749416284,0.2913179766434876
EXOSC3,-0.8744739823049104,6.873918414954627,1.2507559196173728,-1.6596137017743395,0.14679474726961622,0.30338302865117034
RPS23,1.585838483730365,14.362961278195682,0.876535759784333,1.6584206620036033,0.14703840038921753,0.30338302865117034
HIST1H2AC,1.197231519707728,12.635510383205794,0.839229009463106,1.6428276308474885,0.1502587803989904,0.30615226506294296
VDAC2,-1.0482262760068064,9.485750203466768,1.0317859323177903,-1.6018194035884534,0.1590526029859793,0.3163713301770304
MRPS16,-1.2575123079972945,6.699687948852246,1.1634256562540295,-1.6013495970611749,0.15915612929151224,0.3163713301770304
ELAVL1,-0.6301958350796042,11.170595142717575,0.8433927883218132,-1.5486491054640774,0.1711825170540389,0.3361777142145583
CCT7,-1.0196855785966665,8.561843685434349,1.0760776813180286,-1.5219271927883917,0.17760230451558068,0.3446330432861863
ACTB,-0.46534689220436576,8.606376455071706,1.0606338084574132,-1.424974242149914,0.20282190015418367,0.38894082029566984
MRPS17,-0.533267936491546,8.567222484258934,1.0175256483199675,-1.4010287498490372,0.2095379926793974,0.3971475907760672
PSMD11,-1.0325418722161315,7.930364580320795,1.0524701029214254,-1.3865461337087803,0.21369754129039176,0.40037585322222824
TCP1,-0.9346410257323416,8.621150731546091,0.9769032926816437,-1.3585379288022328,0.2219543643706484,0.40483060219212474
NEFM,-0.9226996755802808,4.338158821100207,0.9462597092073627,-1.3533130290277406,0.22352609936988482,0.40483060219212474
HIST2H3A;,-1.783421328960051,11.28172970809309,0.7538201606473056,-1.3677553197521746,0.21920584641411553,0.40483060219212474
HNRNPU,-0.6829293326090777,13.131867546276265,0.6537594082193093,-1.3201503798968666,0.2337366094551596,0.4186710696834177
DDX5,0.5354280066438584,12.324214293117844,0.6600862176396302,1.289621445869662,0.24350114976721443,0.4265298843259161
HNRNPM,0.30180427852122094,14.101990391577933,0.6772471596736791,1.2707674613330007,0.2497099316621234,0.4265298843259161
RPS15A,-0.8485706530200581,10.407779357072455,0.716044998421325,-1.2584983555883407,0.2538245323902691,0.4265298843259161
PLEC,-1.404733022399574,3.3629269479080537,0.8599084870475243,-1.2651249582315394,0.25159490148618135,0.4265298843259161
CFL1,-0.6101508444856005,6.060555280401285,0.90241067681642,-1.2794590242822936,0.24683062857209728,0.4265298843259161
CCT6A,0.6504332088115543,9.499892535217928,0.8956096871149108,1.2819700355678716,0.2460042461547957,0.4265298843259161
HIGD1A,-0.5660943922751445,8.289333094870855,0.86188879247938,-1.2082860868655942,0.27128569287620685,0.45122008100838484
TRIM28,-1.0514376337119726,8.49672502925907,0.8395601813070114,-1.1859824942643022,0.27936827362855204,0.45996998587327254
RPL13A,0.9435483387822918,7.363040762656082,0.8331916782534683,1.1566624401812264,0.29030562079279243,0.4685130315764868
SF3A3,-0.4004686976538565,10.878754399378149,0.6411437890540428,-1.1573716992301712,0.290036818571496,0.4685130315764868
RPLP0,-0.43776956093354613,10.133585407271019,0.6930756447009985,-1.1459331793863894,0.2943976491846445,0.47045898840291234
CPNE3,0.4027884141679223,13.06430832666661,0.5874467739395733,1.1284650615579184,0.3011636615832135,0.4765988042530466
PRPF19,-0.47193127532869106,12.073253945497134,0.5498748150174666,-1.1062914276653542,0.30993922648346683,0.4857701338154336
PRPF4,-0.8837228075951664,8.819892336033453,0.7480859353910345,-1.073745265210095,0.32320304559559476,0.5017342517341138
PCBP2,-0.932679811083803,8.332698758267169,0.7565477955579348,-1.063597061423085,0.3274329521287828,0.5035053886508641
H2AFV,0.30121778370249963,12.465107539228516,0.5692286655614006,1.050566249340446,0.3329304871358149,0.5071744804031573
RALY,-0.6800416956840536,9.03552739390114,0.7402611585381308,-1.0272423432225761,0.34295726032103263,0.51324656730876
RPS7,-0.6214224559169814,10.170097325270419,0.5941346612298438,-1.0194456354855348,0.34636271413474595,0.51324656730876
CCAR2,-1.0413221410467752,7.112724584548559,0.7495112798019855,-1.0220965836576994,0.3452018012863762,0.51324656730876
SF3B6,-1.0719653009765686,11.808694168759668,0.5061738427958368,-1.0033263558890844,0.3534890805911855,0.5190875687960652
SUGT1,-0.5252912921876325,6.861254001218961,0.7492762999058756,-0.959646257837711,0.3733850233368251,0.5434085607491294
RPL23,0.2867158742577889,13.70317670946364,0.46239399833587463,0.9145102450386076,0.39484896729932123,0.5645647514893803
MSI2,-0.30344217059595735,10.176478476713587,0.5692214374405001,-0.9178772322407385,0.3932159293217218,0.5645647514893803
SLTM,-0.3486573541313014,5.244782910858419,0.6107251265255019,-0.8721667456903144,0.4158266366252446,0.589389058868825
HNRNPR,-0.372819261671296,9.54446177498531,0.5429101156414236,-0.8591530398029288,0.4224379407728844,0.593598140913622
HNRNPA1,0.5162572935913303,14.720690087126071,0.43940172785968995,0.8252024849613874,0.4400488824406663,0.6110506757448094
IGF2BP1,0.2734097204210908,10.002348693629946,0.5435144112382757,0.8208288948025418,0.4423557039134203,0.6110506757448094
SND1,1.2117515976804452,8.007385706416647,0.5885430264515952,0.797058439699669,0.45504516326194777,0.6232971564008192
DDX39B,-0.5463989871525907,10.579400890589461,0.4365391504958719,-0.7808098617831059,0.4638664856371063,0.6248779930483332
GPATCH4,1.106123389536485,6.1265532518985015,0.5592972453660194,0.783025139607884,0.46265679005139526,0.6248779930483332
HSP90AB1,-0.6000232836578032,9.802705605319376,0.4437700184463363,-0.7260774022711224,0.49445444563845997,0.6562668681338795
RBM17,-1.1858710792038325,7.400194380537197,0.5262744045059736,-0.7247379623548679,0.4952197839292465,0.6562668681338795
