Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|O43290|SNUT1_HUMAN,1.08E+06,5.61E+05,0,1.24E+06,6.20E+03,5.13E+04,0,9.97E+05,2.87E+05
sp|O43324|MCA3_HUMAN,1.37E+06,1.27E+06,0,2.33E+06,9.29E+05,7.16E+05,2.76E+05,1.12E+06,8.62E+05
sp|O43347|MSI1H_HUMAN,6.08E+05,2.44E+06,8.78E+05,1.21E+06,6.02E+05,0,0,9.82E+05,1.90E+06
sp|O43390|HNRPR_HUMAN,1.39E+06,2.13E+06,9.72E+05,2.61E+06,9.35E+05,9.04E+05,3.02E+05,1.88E+06,1.89E+06
sp|O43395|PRPF3_HUMAN,2.52E+06,1.82E+06,1.01E+06,3.38E+06,1.40E+06,4.28E+05,9.26E+05,3.69E+06,2.98E+06
sp|O43447|PPIH_HUMAN,6.03E+05,2.33E+05,0,2.55E+05,0,0,0,3.47E+05,2.86E+05
sp|O43491|E41L2_HUMAN,7.77E+05,5.84E+05,0,6.26E+05,2.76E+03,1.42E+05,1.07E+04,9.69E+05,3.88E+05
sp|O43548|TGM5_HUMAN,2.12E+04,0,0,2.12E+04,0,0,0,0,0
sp|O43660|PLRG1_HUMAN,5.69E+05,4.55E+05,0,1.62E+06,5.64E+04,0,1.64E+04,5.47E+05,6.10E+05
sp|O43670|ZN207_HUMAN,0,0,0,0,0,0,0,7.89E+04,1.10E+05
sp|O43684|BUB3_HUMAN,0,3.47E+04,0,2.65E+05,0,0,0,3.24E+05,2.24E+05
sp|O43707|ACTN4_HUMAN,1.80E+05,1.51E+05,0,1.78E+05,0,0,0,2.55E+05,6.39E+04
sp|O43719|HTSF1_HUMAN,8.14E+04,7.25E+04,0,3.68E+04,3.35E+04,3.90E+04,0,9.36E+04,0
sp|O43747|AP1G1_HUMAN,0,0,0,2.05E+04,0,0,0,1.58E+04,2.21E+04
sp|O43809|CPSF5_HUMAN,1.54E+05,5.98E+05,9.12E+04,1.89E+06,2.50E+05,5.12E+04,0,8.88E+04,0
sp|O43815|STRN_HUMAN,0,0,0,0,0,0,0,0,0
sp|O43823|AKAP8_HUMAN,2.57E+05,2.49E+05,0,0,0,2.98E+04,0,7.07E+04,6.06E+04
sp|O60216|RAD21_HUMAN,0,5.98E+04,0,3.31E+04,0,0,0,0,5.19E+04
sp|O60231|DHX16_HUMAN,1.48E+05,7.81E+04,0,1.18E+05,0,0,0,1.03E+05,4.67E+04
sp|O60306|AQR_HUMAN,4.50E+05,3.72E+05,0,4.34E+05,0,0,0,5.77E+05,4.54E+05
sp|O60307|MAST3_HUMAN,0,1.16E+05,2.24E+04,0,1.62E+05,1.19E+04,0,8.61E+03,0
sp|O60341|KDM1A_HUMAN,3.82E+04,1.95E+05,0,6.20E+04,0,0,0,8.30E+04,1.56E+05
sp|O60361|NDK8_HUMAN,1.77E+05,2.35E+05,0,2.91E+05,0,0,0,1.15E+05,5.33E+05
sp|O60506|HNRPQ_HUMAN,5.23E+05,3.25E+05,9.49E+04,1.31E+06,0,2.50E+04,3.33E+05,1.04E+06,2.93E+05
sp|O60508|PRP17_HUMAN,2.08E+05,2.00E+05,0,8.15E+05,0,0,0,5.05E+05,4.52E+05
